State,County,Total_List,Cancelled,Cancelled_,Postponed,Postponed_,TotalFallout,Total_Fallout_,Pending_OutbidNC,Pending_Sales_Results,BTS_from_total_list,BTS
,Saline,72,23,32,13,18,36,50,0,0,50.0,36
,Searcy,1,0,0,,0,0,,0,0,100.0,1
,Sebastian,49,20,41,8,16,28,57,0,0,42.9,21
,Sevier,2,1,50,1,50,2,100,0,0,0.0,
,Sharp,1,0,0,,0,0,,0,0,100.0,1
,Stone,3,0,0,,0,0,,0,0,100.0,3
,Union,9,5,56,3,33,8,89,0,0,11.1,1
,Van Buren,7,2,29,0,0,2,29,0,0,71.4,5
,Washington,33,16,48,8,24,24,73,0,0,27.3,9
,White,23,10,43,2,9,12,52,0,0,47.8,11
,Woodruff,1,0,0,1,100,1,100,0,0,0.0,
,Yell,2,0,0,,0,0,,0,0,100.0,2
California,,15996,3350,21,10262,64,13612,85,0,0,14.9,2384
,Alameda,303,85,28,189,62,274,90,0,0,9.6,29
,Amador,37,7,19,21,57,28,76,0,0,24.3,9
,Butte,99,14,14,49,49,63,64,0,0,36.4,36
,Calaveras,30,5,17,14,47,19,63,0,0,36.7,11
,Colusa,14,0,0,10,71,10,71,0,0,28.6,4
,Contra Costa,370,98,26,217,59,315,85,0,0,14.9,55
,Del Norte,6,1,17,1,17,2,33,0,0,66.7,4
,El Dorado,122,19,16,77,63,96,79,0,0,21.3,26
,Fresno,505,89,18,294,58,383,76,0,0,24.2,122
,Glenn,7,2,29,2,29,4,57,0,0,42.9,3
,Humboldt,34,5,15,12,35,17,50,0,0,50.0,17
,Imperial,78,20,26,45,58,65,83,0,0,16.7,13
,Inyo,1,1,100,0,0,1,100,0,0,0.0,
,Kern,535,107,20,255,48,362,68,0,0,32.3,173
,Kings,109,17,16,71,65,88,81,0,0,19.3,21
,Lake,46,8,17,22,48,30,65,0,0,34.8,16
,Lassen,22,5,23,5,23,10,45,0,0,54.5,12
,Los Angeles,4384,971,22,3043,69,4014,92,0,0,8.4,370
,Madera,65,14,22,32,49,46,71,0,0,29.2,19
,Marin,48,14,29,32,67,46,96,0,0,4.2,2
,Mariposa,8,0,0,3,38,3,38,0,0,62.5,5
,Mendocino,23,7,30,9,39,16,70,0,0,30.4,7
,Merced,97,21,22,56,58,77,79,0,0,20.6,20
,Modoc,5,0,0,,0,0,,0,0,100.0,5
,Mono,6,1,17,4,67,5,83,0,0,16.7,1
,Monterey,70,15,21,44,63,59,84,0,0,15.7,11
,Napa,36,7,19,26,72,33,92,0,0,8.3,3
,Nevada,62,9,15,43,69,52,84,0,0,16.1,10
,Orange,976,197,20,698,72,895,92,0,0,8.3,81
,Placer,163,31,19,107,66,138,85,0,0,15.3,25
,Plumas,12,0,0,5,42,5,42,0,0,58.3,7
,Riverside,1711,323,19,1120,65,1443,84,0,0,15.7,268
,Sacramento,869,162,19,555,64,717,83,0,0,17.5,152
,San Benito,9,3,33,4,44,7,78,0,0,22.2,2
,San Bernardino,1533,279,18,956,62,1235,81,0,0,19.4,298
,San Diego,997,234,23,660,66,894,90,0,0,10.3,103
,San Francisco,68,16,24,48,71,64,94,0,0,5.9,4
,San Joaquin,403,84,21,246,61,330,82,0,0,18.1,73
